original canceled date,resurrected canceled date,original created date,resurrected created date,original end date,resurrected end date,original next charge date,resurrected next charge date,original plan,resurrected plan,student_id,original subscription id,resurrected subscription id,days to resurrection
NULL,NULL,6/24/2021 22:13,11/29/2021 12:32,10/28/2021 0:00,5/2/2022 0:00,10/24/2021 0:00,4/28/2022 0:00,monthly,monthly,158105,4710,6693,32
NULL,NULL,1/28/2021 23:46,11/29/2021 13:17,4/28/2021 0:00,12/8/2022 0:00,4/19/2021 3:00,11/29/2022 0:00,annual,annual,10690,2608,6715,215
9/23/2021 0:00,NULL,1/28/2021 23:44,11/29/2021 14:26,9/24/2021 0:00,NULL,9/24/2021 3:00,2/29/2024 0:00,annual,annual,8539,1287,6740,66
5/29/2021 0:00,11/29/2022 0:00,5/29/2021 19:07,11/29/2021 16:22,6/29/2021 0:00,11/29/2022 0:00,6/29/2021 0:00,11/29/2023 0:00,monthly,annual,148670,4392,6767,153
NULL,NULL,1/28/2021 23:46,11/29/2021 17:11,5/2/2021 0:00,12/8/2022 0:00,4/23/2021 3:00,11/29/2022 0:00,annual,annual,9754,2388,6772,211
6/9/2021 0:00,NULL,1/28/2021 23:44,11/29/2021 23:25,7/9/2021 0:00,NULL,7/9/2021 3:00,11/29/2023 0:00,annual,annual,5509,1736,6798,143
9/27/2021 0:00,NULL,1/28/2021 23:44,11/30/2021 21:27,10/1/2021 0:00,NULL,10/1/2021 3:00,11/30/2023 0:00,annual,annual,142965,1196,6849,60
1/26/2021 2:00,NULL,1/28/2021 23:44,12/1/2021 23:49,6/15/2021 0:00,NULL,6/15/2021 3:00,3/1/2023 0:00,annual,annual,1016,1901,6957,169
11/11/2021 0:00,NULL,1/28/2021 23:44,12/2/2021 4:33,11/28/2021 0:00,NULL,11/28/2021 2:00,12/2/2023 0:00,annual,annual,6623,792,6984,4
NULL,7/29/2022 0:00,1/28/2021 23:46,12/3/2021 12:19,10/20/2021 0:00,8/3/2022 0:00,10/16/2021 0:00,8/3/2022 0:00,monthly,monthly,10393,2828,7027,44
NULL,NULL,1/28/2021 23:46,12/5/2021 3:59,5/1/2021 0:00,12/14/2022 0:00,4/22/2021 3:00,12/5/2022 0:00,annual,annual,7790,2425,7039,218
NULL,NULL,1/28/2021 23:46,12/10/2021 2:00,5/6/2021 0:00,1/14/2022 0:00,4/27/2021 3:00,1/10/2022 0:00,annual,monthly,14463,2180,7071,218
NULL,1/19/2022 0:00,5/22/2021 21:38,12/18/2021 20:53,6/23/2021 0:00,2/18/2022 0:00,6/22/2021 0:00,2/18/2022 0:00,monthly,monthly,7437,4295,7128,178
NULL,1/4/2022 0:00,5/9/2021 17:12,12/20/2021 14:45,10/11/2021 0:00,1/20/2022 0:00,10/9/2022 0:00,1/20/2022 0:00,annual,monthly,152766,4212,7137,70
1/14/2021 2:00,NULL,1/28/2021 23:44,12/22/2021 8:13,10/30/2021 3:00,NULL,11/30/2023 0:00,12/22/2023 0:00,annual,annual,1107,1095,7154,53
